time,event_type,qw,qx,qy,qz,bx,by,bz
6438.871822296,TRIAD,0.987555180214968,-0.10183838430677088,-0.11919555713872261,-0.012495145887824473,0.0008874285319215723,0.00036307045638559723,-0.0007309091284197391
6438.875940856,IMU,0.9875552845505501,-0.10183836620054454,-0.11919700941572674,-0.01247317410417205,0.0008874285319215723,0.00036307045638559723,-0.0007309091284197391
6438.882513781,IMU,0.9875554706172176,-0.1018429347243647,-0.11919503203288971,-0.012439993545540021,0.0008874285319215723,0.00036307045638559723,-0.0007309091284197391
6438.886461313,TRIAD,0.999902506583106,0.003146580644033267,0.013594282423329938,-0.0005213870608181543,-0.0009160457916259856,-0.00023602048993791834,-0.0011301814797703954
6438.890513781,IMU,0.9999024949021658,0.003148797671888739,0.013595344324600639,-0.0005023687305948975,-0.0009160457916259856,-0.00023602048993791834,-0.0011301814797703954
6438.898976208,IMU,0.9999024417826733,0.0031571587142414244,0.013598173188249156,-0.000478489125533503,-0.0009160457916259856,-0.00023602048993791834,-0.0011301814797703954
6438.903460445,TRIAD,0.9933574940198483,-0.09224223814111171,-0.022354110681640258,-0.06505806877673678,0.0009989037708109474,-5.062942435477062e-05,0.001576672221438593
6438.906976208,IMU,0.9933574386124715,-0.09224311018517388,-0.022352701057769115,-0.0650581626858455,0.0009989037708109474,-5.062942435477062e-05,0.001576672221438593
6438.9127827990005,IMU,0.9933567709610934,-0.09224562901043283,-0.022346794926687334,-0.06506681389713244,0.0009989037708109474,-5.062942435477062e-05,0.001576672221438593
6438.917264758,TRIAD,0.986326598641634,-0.10640961138826967,-0.12508681501358018,-0.013788550539518163,0.001335920997068416,0.0003309424963064649,-0.0003200969921311322
6438.920782799,IMU,0.9863264062443431,-0.10641179394346488,-0.12508579013484217,-0.01379476571729267,0.001335920997068416,0.0003309424963064649,-0.0003200969921311322
6438.932124424,TRIAD,0.9936533200581443,-0.09011147380533234,-0.030099821465052523,-0.060224601068252316,0.0010640109621323699,6.0852799272865035e-05,0.0009700882524681655
6438.935196835,IMU,0.9936522649176206,-0.09011525192315936,-0.030099619860658264,-0.06023645639604163,0.0010640109621323699,6.0852799272865035e-05,0.0009700882524681655
6438.941777686,IMU,0.9936496865748133,-0.09012061189121591,-0.030096347737038363,-0.0602725935647334,0.0010640109621323699,6.0852799272865035e-05,0.0009700882524681655
6438.945841644,TRIAD,0.9934601585172312,-0.09318630346542608,-0.0282659071256494,-0.05961765493317954,0.0011094078271705495,5.2648447233998094e-05,0.0009575380454249633
6438.949777686,IMU,0.9934587328513176,-0.09318769511503115,-0.02826646446464777,-0.05963896869724889,0.0011094078271705495,5.2648447233998094e-05,0.0009575380454249633
6438.959697818,IMU,0.9934560351421795,-0.09319289226067673,-0.028273860402764788,-0.05967227069247093,0.0011094078271705495,5.2648447233998094e-05,0.0009575380454249633
6438.963310406,TRIAD,0.9922352011891457,-0.0987168548647506,-0.014323552348153343,-0.0742908065299956,0.001204787430855392,-2.039352907553814e-05,0.0017140615267207844
6438.967697818,IMU,0.9922346870954064,-0.09872150908154229,-0.014324847331293224,-0.07429123850279547,0.001204787430855392,-2.039352907553814e-05,0.0017140615267207844
6438.974087095,IMU,0.9922354940280217,-0.09872613551457875,-0.01432684741047071,-0.07427392544225545,0.001204787430855392,-2.039352907553814e-05,0.0017140615267207844
6438.978274664,TRIAD,0.98667454232563,-0.1053563703408491,-0.12325716175648828,-0.013455661665092782,0.00148245036376313,0.0004429487893884067,-0.0008802437130217542
6438.982087095,IMU,0.9866741866537783,-0.10536017823394411,-0.12325924428095852,-0.013432830412975747,0.00148245036376313,0.0004429487893884067,-0.0008802437130217542
6438.989261243,IMU,0.986673936688105,-0.10536544437788224,-0.12326184912190785,-0.013385900884771323,0.00148245036376313,0.0004429487893884067,-0.0008802437130217542
6438.993391627,TRIAD,0.993243348394719,-0.09350959430571221,-0.03353493380806301,-0.0599917899125958,0.0011444573896074032,5.609484052644469e-05,0.0011363364584736821
6438.997261243,IMU,0.9932443952680644,-0.09351015095635214,-0.033535534481283914,-0.05997325123546398,0.0011444573896074032,5.609484052644469e-05,0.0011363364584736821
6439.005218151,IMU,0.9932447990546039,-0.09351441754854962,-0.03353463307808507,-0.05996041399000887,0.0011444573896074032,5.609484052644469e-05,0.0011363364584736821
6439.009686665,TRIAD,0.9928733722288461,-0.09738639585713117,-0.024907030144611857,-0.0640155955236926,0.0012050228080858845,1.4714973860062892e-05,0.0013368130811652855
6439.013218151,IMU,0.992872443627577,-0.09739246181294839,-0.024906599945382277,-0.06402093677991628,0.0012050228080858845,1.4714973860062892e-05,0.0013368130811652855
6439.021648745,IMU,0.9928688726801452,-0.09740364542435238,-0.024902208503304643,-0.06406099852923486,0.0012050228080858845,1.4714973860062892e-05,0.0013368130811652855
6439.025592721,TRIAD,0.9934697701860702,-0.09335891712111621,-0.027503906525616423,-0.05954379435541339,0.0011329170284174665,2.6623377115671636e-05,0.0011385205210214504
6439.029648745,IMU,0.9934673012420895,-0.09336411399608219,-0.027504644133816373,-0.059576489755257714,0.0011329170284174665,2.6623377115671636e-05,0.0011385205210214504
6439.036041818,IMU,0.993462382266334,-0.09337400854106152,-0.027506568841551778,-0.05964208431333602,0.0011329170284174665,2.6623377115671636e-05,0.0011385205210214504
6439.040163535,TRIAD,0.9934309676051514,-0.0931935791667571,-0.02909547226740968,-0.05969357502042011,0.0011315380543972567,3.361699983239969e-05,0.001134958502096228
6439.044041818,IMU,0.99342899991581,-0.09319585176960535,-0.029094141075232543,-0.05972341495850651,0.0011315380543972567,3.361699983239969e-05,0.001134958502096228
6439.051318614001,IMU,0.993428515013034,-0.09319984331637109,-0.029089333072686362,-0.05972759384228026,0.0011315380543972567,3.361699983239969e-05,0.001134958502096228
6439.05541622,TRIAD,0.9934800727619745,-0.09329554517842527,-0.027372305248916127,-0.05953186692925578,0.001131421115547482,2.5578807020383843e-05,0.0011336435401605204
6439.059318614,IMU,0.9934811667517475,-0.09329746033430823,-0.027370762582647156,-0.05951131455781435,0.001131421115547482,2.5578807020383843e-05,0.0011336435401605204
6439.067045244,IMU,0.9934853442134518,-0.09329943698450353,-0.02736410127916287,-0.05944149941444544,0.001131421115547482,2.5578807020383843e-05,0.0011336435401605204
6439.071523165,TRIAD,0.985669409886655,-0.11083145422463458,-0.12634129755312415,-0.01449412642207664,0.0015984279299592315,0.00047841558134926126,-0.000961720562573113
6439.075045244,IMU,0.9856700564745718,-0.11083200401524826,-0.12633970363546826,-0.014459804309892545,0.0015984279299592315,0.00047841558134926126,-0.000961720562573113
6439.081764391,IMU,0.9856714376142472,-0.11083085841419818,-0.12633545941007712,-0.0144114395630643,0.0015984279299592315,0.00047841558134926126,-0.000961720562573113
6439.085898424,TRIAD,0.9932746135151885,-0.09371216804625127,-0.032231636186835284,-0.05987230858287966,0.0011931512322043913,9.785133155351564e-05,0.0008838600247154324
6439.089764391,IMU,0.9932753575508472,-0.09371180542972138,-0.03222922751735559,-0.05986182839651188,0.0011931512322043913,9.785133155351564e-05,0.0008838600247154324
6439.097263891,IMU,0.9932741008511891,-0.09371822273129306,-0.03222995648698289,-0.05987224073973486,0.0011931512322043913,9.785133155351564e-05,0.0008838600247154324
6439.101749035,TRIAD,0.9851418199568951,-0.14062451962073996,-0.06822213714475861,-0.07117639395792844,0.002079025437458472,0.00025979037509200626,0.0012642858042946105
6439.105263891,IMU,0.9851400172791394,-0.14062818455005222,-0.06822288087882979,-0.07119338866781504,0.002079025437458472,0.00025979037509200626,0.0012642858042946105
6439.115441181,TRIAD,0.993168299430589,-0.0947835117958897,-0.032128539384253335,-0.06000476526764373,0.0015299114131327976,0.00015402981856502867,0.001033829520310127
