timestamp,mx,my,mz
11186.93765244,-233.3489314729601,21413.072792007624,-5156.77255896312
11186.952938768,-360.65980445474014,21512.20776343083,-4757.5143806426195
11186.967442304,-239.6109818284801,21078.65540444949,-5571.916357636046
11186.983623459,-539.0999958032401,21398.149933012093,-4909.0858010529955
11186.999217581,-303.23212229616007,21219.802355357042,-5082.948533830715
11187.013074288,-326.5937663415601,21238.501225304546,-5210.009737431232
11187.026130444,-399.8440196787301,21421.471006716518,-4671.789052864858
11187.040902275,-478.4283133316201,21355.445070948637,-4996.415392610658
11187.05570968,-450.2107558823101,21474.373985361042,-4584.107205061898
11187.070256771,-151.07277179217007,21216.414597574403,-5246.014251136749
11187.084759844,-385.5082819769501,21416.46054979027,-4993.706841657085
11187.099264454,-216.39257411531005,21255.559476731392,-5393.0951791767275
11187.113943767,-390.96740190673006,21350.475430381215,-5287.643501662333
11187.128290175,-298.4932188537901,21377.94185330894,-4797.393713046405
11187.14342167,-306.00606534991005,21330.985121280846,-5188.693586047937
11187.155948071,-514.4855382041101,21534.92057383664,-4672.277666366399
11187.170084313,-199.0347515447901,21232.262295529697,-5568.814230056495
11187.186285005,-321.7015395013101,21437.960815682625,-4904.30503300832
